Transliteration Code,Transliteration Name
NOT_TRANSLITERATED,Name has not been transliterated
not_transliterated,Name has not been transliterated
UNKNOWN,Unknown transliteration method
unknown,Unknown transliteration method
amh_Ethi2Latn_ALA_1997,Amharic ALA-Library of Congress 1997 System
amh_Ethi2Latn_BGN_1967,Amharic Board on Geographic Names/Permanent Committee on Geographical Names for British Official Use(PCGN) 1967 System
ara_Arab2Latn_ALA_1997,Arabic ALA-Library of Congress 1997 System
ara_Arab2Latn_BGN_1956,Arabic US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) 1956 System
ara_Arab2Latn_BUC_2002,Arabic Tim Buckwalter 2002 System
ara_Arab2Latn_IGN_1973,Arabic Institut Geographique Nationale 1973 System
ara_Arab2Latn_ODNI_2004,Arabic Personal Names Office of the Director Of National Intelligence 2004 System
ara_Arab2Latn_RJGC_1996,Arabic Royal Jordanian Geographic Center 1996 System
ara_Arab2Latn_SES_1930,Arabic Survey of Egypt System
asm_Deva2Latn_ALA_1997,Assamese ALA-Library of Congress 1997 System
aze_Cyrl2Latn_ALA_1997,Azerbaijani ALA-Library of Congress 1997 System
aze_Cyrl2Latn_GAZ_1991,Cyrillic-Roman Table of Correspondences Azeri Government 1991
bak_Cyrl2Latn_BGN_2007,Bashkir 2007 BGN/PCGN Cyrillic-Latin Table of Correspondences
ban_Bali2Latn_ALA_1997,Balinese ALA-Library of Congress 1997 System
bel_Cyrl2Latn_ALA_1997,Byelorussian ALA-Library of Congress 1997 System
bel_Cyrl2Latn_BGN_1979,Byelorussian US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) 1979 System
bel_Cyrl2Latn_GBO_1992,Byelorussian National Cartographic Authority 1992-3 System (based on GOST 1983)
bel_Cyrl2Latn_GBO_1998,Byelorussian Government of Belarus 1998 System
ben_Beng2Latn_ALA_1997,Bengali ALA-Library of Congress 1997 System
bod_Tibt2Latn_ALA_1997,Tibetan ALA-Library of Congress 1997 System
bul_Cyrl2Latn_ALA_1997,Bulgarian ALA-Library of Congress Bulgarian 1997 System
bul_Cyrl2Latn_BGN_1952,Bulgarian US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) Bulgarian 1952 System
bul_Cyrl2Latn_BGN_2013,Bulgarian US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names(PCGN) Bulgarian 2013 System
bul_Cyrl2Latn_BUL_1952,Bulgarian 2002 Bulgarian Government Romanization System
bul_Cyrl2Latn_ODNI_2005,Bulgarian Personal Names Office of the Director Of National Intelligence Bulgarian Personal Names 2004 System
che_Cyrl2Latn_BGN_2007,Chechen 2007 BGN/PCGN Cyrillic-Latin Table of Correspondences
deu_Latn2Latn_BGN_1986,German Spelling Convention US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) 1986
div_Thaa2Latn_ALA_1997,Maldivian (Divehi) ALA-Library of Congress 1997 System
div_Thaa2Latn_BGN_1972,Maldivian (Divehi) US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) 1972 system (out of date)
div_Thaa2Latn_GMV_1988,Maldivian (Divehi) Maldivian Government 1988 system
dzo_Tibt2Latn_GBT_1994,Dzongkha Government of Bhutan 1994 System
ell_Grek2Latn_ALA_1997,Greek ALA-Library of Congress 1997 System
ell_Grek2Latn_BGN_1962,US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) Greek 1962 System (out of date)
ell_Grek2Latn_ELOT743_1996,"Greek ELOT 743 System, US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) 1996 agreement"
fao_Latn2Latn_BGN_1968,Faroese Spelling Convention US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) 1968
fas_Arab2Latn_ALA_1997,Persian 1997 ALA-Library of Congress System
fas_Arab2Latn_AMMI_1959,Afghanistan Ministry of Mines and Industries Transliteration System for Geographic Names in Afghanistan (Yaghubi)
fas_Arab2Latn_BGN_1958,Persian (Afghan and Iranian) BGN/Permanent Committee on Geographical Names for British Official Use(PCGN) 1958 System
fas_Arab2Latn_NCO_2004,Persian 2004 Broad Transcription System National Cartographic Center of Iran
fas_Arab2Latn_ODNI_2004,Farsi (Iranian Persian) Personal Names Office of the Director Of National Intelligence 2004 System
guj_Gijr2Latn_ALA_1997,Gujerati 1997 ALA-Library of Congress System
heb_Hebr2Latn_ALA_1997,Hebrew and Yiddish ALA-Library of Congress 1997 System
heb_Hebr2Latn_HAS_1962,"Hebrew Academy System, US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) Hebrew 1962 Agreement"
hin_Deva2Latn_ALA_1997,Hindi ALA-Library of Congress 1997 System
hye_Armn2Latn_ALA_1997,Armenian ALA-Library of Congress 1997 System
hye_Armn2Latn_BGN_1981,Armenian 1981 BGN/PCGN Romanization System
isl_Armn2Latn_BGN_1981,Armenian US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) 1981 System
isl_Latn2Latn_BGN_1968,Icelandic Spelling Convention US Board on Geographic Names(BGN)/Permanent Committee on Geographical Names for British Official Use(PCGN) 1968
jav_Java2Latn_ALA_1997,"Javanese, Sundanese, and Madurese ALA-Library of Congress 1997 System"
